Lon       Lat      Dep  Vel  Mag      Fast
97.500000 24.000000 0 3.277 0.007827 -12.717759
97.500000 24.000000 5 3.207 0.010337 -7.648409
97.500000 24.000000 10 3.299 0.011931 -2.941398
97.500000 24.000000 15 3.362 0.005846 -2.996293
97.500000 24.000000 20 3.758 0.002234 89.236963
97.500000 24.000000 25 3.740 0.007471 -89.846587
97.500000 24.000000 30 3.702 0.007695 -84.573334
97.500000 24.000000 35 3.671 0.005642 -78.897214
97.500000 24.000000 40 4.415 0.003610 -65.245270
97.500000 24.000000 45 4.397 0.005297 -31.983332
97.500000 24.000000 50 4.366 0.009261 -22.313038
97.500000 24.000000 55 4.337 0.012177 -19.286475
97.500000 24.000000 60 4.323 0.013571 -18.022310
97.500000 24.000000 65 4.304 0.013769 -17.499057
97.500000 24.000000 70 4.195 0.024016 -17.490066
97.500000 24.000000 80 4.108 0.015952 -18.494192
97.500000 24.000000 90 4.139 0.007990 -22.129576
97.500000 24.000000 100 4.192 0.002541 -42.150024
97.500000 24.000000 110 4.261 0.003448 -85.692389
97.500000 24.000000 120 4.317 0.005550 86.628358
97.500000 24.000000 130 4.365 0.006531 84.645919
97.500000 24.000000 140 4.404 0.006632 83.989991
97.500000 24.000000 150 4.445 0.006194 83.828204
97.500000 24.500000 0 3.274 0.008179 -16.246018
97.500000 24.500000 5 3.271 0.013817 -8.189372
97.500000 24.500000 10 3.383 0.011339 -1.241975
97.500000 24.500000 15 3.321 0.001661 29.536489
97.500000 24.500000 20 3.626 0.008312 83.254235
97.500000 24.500000 25 3.566 0.010596 88.811706
97.500000 24.500000 30 3.548 0.007107 -79.217171
97.500000 24.500000 35 3.575 0.004290 -59.752226
97.500000 24.500000 40 4.377 0.004864 -34.372250
97.500000 24.500000 45 4.394 0.010318 -22.455473
97.500000 24.500000 50 4.389 0.014894 -19.722580
97.500000 24.500000 55 4.377 0.017399 -18.901332
97.500000 24.500000 60 4.372 0.017940 -18.734467
97.500000 24.500000 65 4.357 0.017120 -18.896674
97.500000 24.500000 70 4.274 0.027873 -19.512039
97.500000 24.500000 80 4.202 0.017136 -21.055099
97.500000 24.500000 90 4.213 0.007834 -24.966248
97.500000 24.500000 100 4.245 0.002022 -48.000803
97.500000 24.500000 110 4.298 0.003260 85.838590
97.500000 24.500000 120 4.340 0.004902 79.316897
97.500000 24.500000 130 4.378 0.005312 77.179749
97.500000 24.500000 140 4.410 0.004939 75.985888
97.500000 24.500000 150 4.447 0.004181 75.023543
98.000000 24.000000 0 3.120 0.004209 -2.986229
98.000000 24.000000 5 3.077 0.008823 -20.402108
98.000000 24.000000 10 3.365 0.005257 -18.540798
98.000000 24.000000 15 3.506 0.003278 50.451842
